Date,Location,Start_time,End_time,Cloud_conditions,Other_conditions,Temp_F,Trapper_1,Trapper_2,Trapper_3,Trapper_4,Trapper_5,Trap_zone,Sp_SCCA_TAHU,Total_wt_g,Bag_wt_g,Sq_wt_g,Sex_M_F,Age,PIT_tag_num,Ear_tag_num,Fur_dye_1,Fur_dye_2,Freeze_brand_1,Freeze_brand_2,Nipple_status,Scrotal_status,Comments_1,Comments_2
6-Sep-2010,SLU Campus,14:23,15:30,Cloudy,Cool,,Class,,,,,E,SCCA,860,,,M,Adult,,R001,Right hip,,Right hip,,,Slightly,,
6-Sep-2010,SLU Campus,14:23,15:30,Cloudy,Cool,,Class,,,,,F,SCCA,,,,M,Adult,,Escaped,Right hip,Right hip,Right back leg,,,Slightly,Missing tip of tail,
6-Sep-2010,SLU Campus,14:23,15:30,Cloudy,Cool,,Class,,,,,B,SCCA,800,,,M,Adult,,R002,Center rump,,Left leg,,,Slightly,,
6-Sep-2010,SLU Campus,14:23,15:30,Cloudy,Cool,,Class,,,,,B,SCCA,700,,,M,Adult,,R003,Left leg,,Left middle,,,Slightly,,
6-Sep-2010,SLU Campus,14:23,15:30,Cloudy,Cool,,Class,,,,,B,SCCA,780,,,M,Adult,,R004,Left middle,,Right middle,,,Slightly,,
8-Sep-2010,,7:30,9:10,Partly cloudy,,65,Erin,Hannah,Leah,Abbie,,C,SCCA,950,,,F,Adult,,L005,Back middle,,Left hip,,Well developed,,,
8-Sep-2010,,7:30,9:10,Partly cloudy,,65,Erin,Hannah,Leah,Abbie,,C,SCCA,750,,,F,Adult,,L007,Left hip,,Center rump,,Not developed,,,
8-Sep-2010,,7:30,9:10,Partly cloudy,,65,Erin,Hannah,Leah,Abbie,,C,SCCA,730,,,M,Adult,,R008,Left hip,,Left hip,,,Tiny,,
8-Sep-2010,,7:30,9:10,Partly cloudy,,65,Erin,Hannah,Leah,Abbie,,C,SCCA,710,,,M,Sub-adult,,Escaped,Right middle,,Right shoulder,,,,,
8-Sep-2010,,7:30,9:10,Partly cloudy,,65,Erin,Hannah,Leah,Abbie,,C,SCCA,780,,,F,,,,,,Right hip,,,,Escaped during freeze branding,
8-Sep-2010,,7:30,9:10,Partly cloudy,,65,Erin,Hannah,Leah,Abbie,,C,SCCA,790,,,F,Adult,,L009,Right hip,,Right leg,,Large,,,
